type,id,code,description,link1,link2,link3,link4,link5,link6,link7,link8,link9,link10,link11,link12,link13,link14,link15,link16,link17,link18,link19,link20,link21,link22,link23,origen
SB,sb-act3d-g2,G.2,Las fuerzas y lo que provocan: cambian el movimiento o deforman los cuerpos. Las leyes de Newton aplicadas a situaciones cotidianas y a la seguridad vial.,,,,,,,,,,,,,,,,,,,,,,,,fq3 D.2; fq3 D.3
SB,sb-act3d-h1,H.1,"La célula como unidad de los seres vivos: célula procariota y células animal y vegetal y sus partes, observadas y comparadas al microscopio.",,,,,,,,,,,,,,,,,,,,,,,,bg3 C.1; bg3 C.2; bg3 C.3
SB,sb-act3d-h2,H.2,Los niveles de organización del cuerpo humano y la observación de tejidos al microscopio.,,,,,,,,,,,,,,,,,,,,,,,,bg3 F.1
SB,sb-act3d-h3,H.3,"La nutrición y su importancia: cómo son y cómo funcionan los aparatos digestivo, respiratorio, circulatorio y excretor.",,,,,,,,,,,,,,,,,,,,,,,,bg3 F.2; bg3 F.3
SB,sb-act3d-h4,H.4,"La reproducción y la relación: los aparatos reproductores y el ciclo menstrual, los órganos de los sentidos, los centros de coordinación y los órganos que responden, y cómo se coordinan entre sí.",,,,,,,,,,,,,,,,,,,,,,,,bg3 F.4; bg3 F.5; bg3 F.6
SB,sb-act3d-i1,I.1,En qué consiste una dieta saludable y por qué importa.,,,,,,,,,,,,,,,,,,,,,,,,bg3 G.1
SB,sb-act3d-i2,I.2,"Hábitos que cuidan la salud física, mental y social: dormir bien, cuidar la postura, usar con cabeza las pantallas, moverse, manejar las emociones y corresponsabilizarse.",,,,,,,,,,,,,,,,,,,,,,,,bg3 G.6
SB,sb-act3d-i3,I.3,"Sexo y sexualidad: educación afectivo-sexual desde la igualdad y el respeto a la diversidad, prácticas sexuales responsables, saber decir que no y cuidarse, prevención de infecciones de transmisión sexual y de embarazos no deseados, y uso correcto de los métodos anticonceptivos.",,,,,,,,,,,,,,,,,,,,,,,,bg3 G.2; bg3 G.3; bg3 G.4
SB,sb-act3d-i4,I.4,Las drogas legales e ilegales y el daño que hacen a quien las consume y a su entorno.,,,,,,,,,,,,,,,,,,,,,,,,bg3 G.5
SB,sb-act3d-i5,I.5,"Enfermedades infecciosas y no infecciosas: en qué se diferencian, cómo se defiende el cuerpo, cómo se previenen y se tratan, por qué hay que usar bien los antibióticos y qué importancia tienen las vacunas, los trasplantes y la donación de órganos.",,,,,,,,,,,,,,,,,,,,,,,,bg3 H.1; bg3 H.2; bg3 H.3; bg3 H.4
SB,sb-act3d-j1,J.1,Cómo es la geosfera por dentro y qué relación tiene la energía interna de la Tierra con el relieve.,,,,,,,,,,,,,,,,,,,,,,,,bg3 B.1
SB,sb-act3d-j2,J.2,"Cómo se relacionan atmósfera, hidrosfera, geosfera y biosfera: la formación del suelo, el modelado del relieve, para qué sirve el suelo y por qué es importante para la vida.",,,,,,,,,,,,,,,,,,,,,,,,bg3 E.1
SB,sb-act3d-j3,J.3,"Los hábitos sostenibles (consumir con cabeza, generar menos residuos, cuidar el entorno) y la relación entre la salud del medio ambiente, la de las personas y la del resto de seres vivos: one health.",,,,,,,,,,,,,,,,,,,,,,,,bg3 E.2; bg3 E.3
SB,sb-act3d-k1,K.1,Las emociones que aparecen al aprender ciencias y matemáticas: reconocerlas y saber manejarlas.,,,,,,,,,,,,,,,,,,,,,,,,mat3 F.1
SB,sb-act3d-k2,K.2,"Cómo mantener la curiosidad, la iniciativa y la constancia, cambiar de estrategia cuando algo no sale y convertir el error en aprendizaje.",,,,,,,,,,,,,,,,,,,,,,,,mat3 F.2; mat3 F.3
SB,sb-act3d-k3,K.3,"Técnicas para trabajar mejor en equipo y compartir conocimiento, ponerse en el lugar del otro y resolver conflictos.",,,,,,,,,,,,,,,,,,,,,,,,mat3 F.4; mat3 F.5
SB,sb-act3d-k4,K.4,"Aceptar la diversidad del aula y de la sociedad, y reconocer lo que las matemáticas y la ciencia han aportado al conocimiento, también desde la perspectiva de género.",,,,,,,,,,,,,,,,,,,,,,,,mat3 F.6; mat3 F.7
