type,id,code,description,link1,link2,link3,link4,link5,link6,link7,link8,link9,link10,link11,link12,link13,link14,link15,link16,link17,link18,link19,link20,link21,link22,link23,origen
SB,sb-act4d-f4,F.4,"Nomenclatura de la IUPAC: nombrar sustancias simples, iones y compuestos binarios y ternarios, e introducción a los compuestos orgánicos de una sola función.",,,,,,,,,,,,,,,,,,,,,,,,fq4 B.6; fq4 B.7
SB,sb-act4d-f5,F.5,"La energía: sus formas y el principio de conservación aplicados a la energía mecánica, el trabajo y el calor como formas de transferirla, la luz y el sonido como ondas que transportan energía, y cuánta energía gastamos y cómo usarla con responsabilidad.",,,,,,,,,,,,,,,,,,,,,,,,fq4 C.1; fq4 C.2; fq4 C.3
SB,sb-act4d-f6,F.6,"Las reacciones químicas: ajustar ecuaciones y hacer cálculos de estequiometría, reacciones de combustión, de neutralización y procesos electroquímicos sencillos, y qué hace que una reacción vaya más rápida o más lenta, en relación con la industria asturiana, el medio ambiente y la sociedad.",,,,,,,,,,,,,,,,,,,,,,,,fq4 E.1; fq4 E.2; fq4 E.3
SB,sb-act4d-g1,G.1,"Predecir y comprobar, con experimentos y cálculos, las magnitudes, ecuaciones y gráficas que describen el movimiento de un cuerpo en situaciones cotidianas.",,,,,,,,,,,,,,,,,,,,,,,,fq4 D.1
SB,sb-act4d-g2,G.2,"La fuerza como causa de los cambios: su carácter vectorial, cómo se suman gráfica y numéricamente, y las fuerzas más habituales del entorno (peso, normal, rozamiento, tensión y empuje).",,,,,,,,,,,,,,,,,,,,,,,,fq4 D.2; fq4 D.3; fq4 D.4
SB,sb-act4d-g3,G.3,La ley de gravitación universal y el concepto de peso. Fuerzas y presión en líquidos y gases y los principios que las describen.,,,,,,,,,,,,,,,,,,,,,,,,fq4 D.5; fq4 D.6
SB,sb-act4d-h1,H.1,Los orgánulos de la célula: reconocerlos y relacionar su forma con lo que hacen.,,,,,,,,,,,,,,,,,,,,,,,,bg4 C.1
SB,sb-act4d-h2,H.2,El ciclo celular y sus fases: para qué sirven la mitosis y la meiosis y observación de las fases de la mitosis al microscopio.,,,,,,,,,,,,,,,,,,,,,,,,bg4 C.2; bg4 C.3; bg4 C.4
SB,sb-act4d-h3,H.3,"El ADN y el ARN: cómo son, para qué sirven y cómo se copian; extracción de ADN de una célula, etapas de la expresión de los genes y características del código genético.",,,,,,,,,,,,,,,,,,,,,,,,bg4 D.1; bg4 D.2; bg4 D.3
SB,sb-act4d-h4,H.4,"Fenotipo y genotipo y leyes de Mendel: resolver problemas sencillos de herencia con dominancia y recesividad, codominancia, dominancia incompleta, varios alelos y herencia ligada al sexo.",,,,,,,,,,,,,,,,,,,,,,,,bg4 D.5; bg4 D.6; bg4 D.7
SB,sb-act4d-h5,H.5,"Las mutaciones y su relación con la copia del ADN, el cáncer, la evolución y la biodiversidad, y las principales enfermedades genéticas. Técnicas de ingeniería genética y su repercusión social, y la evolución explicada por el neodarwinismo y por teorías anteriores (lamarckismo y darwinismo).",,,,,,,,,,,,,,,,,,,,,,,,bg4 D.4; bg4 D.8; bg4 D.9
SB,sb-act4d-i1,I.1,"El origen del universo y del sistema solar, y qué componentes tiene el sistema solar.",,,,,,,,,,,,,,,,,,,,,,,,bg4 E.1; bg4 E.2
SB,sb-act4d-i2,I.2,"Hipótesis sobre el origen de la vida en la Tierra y cómo se reconstruye ese origen y su evolución, y las principales investigaciones en astrobiología.",,,,,,,,,,,,,,,,,,,,,,,,bg4 E.3; bg4 E.4
SB,sb-act4d-j1,J.1,"Relieve y paisaje: en qué se diferencian, por qué son un recurso y qué factores los forman y los modelan. El relieve de Asturias.",,,,,,,,,,,,,,,,,,,,,,,,bg4 B.1
SB,sb-act4d-j2,J.2,"Cómo es y cómo funciona la geosfera y cómo se estudia: la tectónica de placas, la deriva continental y la expansión del fondo oceánico.",,,,,,,,,,,,,,,,,,,,,,,,bg4 B.2; bg4 B.3
SB,sb-act4d-j3,J.3,"Procesos geológicos internos y externos y su relación con los riesgos naturales: prevención, mapas de riesgos e interpretación de cortes geológicos con los principios de la historia de la Tierra.",,,,,,,,,,,,,,,,,,,,,,,,bg4 B.4; bg4 B.5
SB,sb-act4d-k1,K.1,"Las emociones que aparecen al aprender ciencias y matemáticas: reconocerlas, manejarlas y superar los bloqueos.",,,,,,,,,,,,,,,,,,,,,,,,mat4a F.1
SB,sb-act4d-k2,K.2,"Cómo mantener la curiosidad, la iniciativa y la constancia, cambiar de estrategia cuando algo no sale y convertir el error en aprendizaje.",,,,,,,,,,,,,,,,,,,,,,,,mat4a F.2; mat4a F.3
SB,sb-act4d-k3,K.3,"Asumir responsabilidades y participar de forma activa en el equipo: pedir ayuda, darla y gestionarla, y formas de tomar decisiones.",,,,,,,,,,,,,,,,,,,,,,,,mat4a F.4; mat4a F.5
SB,sb-act4d-k4,K.4,"Aceptar la diversidad del aula y de la sociedad, y reconocer lo que las matemáticas y la ciencia han aportado al conocimiento, también desde la perspectiva de género.",,,,,,,,,,,,,,,,,,,,,,,,mat4a F.6; mat4a F.7
BB,bb-act4d-a,A,Proyecto científico y destrezas básicas,,,,,,,,,,,,,,,,,,,,,,,,
BB,bb-act4d-b,B,Sentido numérico,,,,,,,,,,,,,,,,,,,,,,,,
BB,bb-act4d-c,C,Sentido algebraico,,,,,,,,,,,,,,,,,,,,,,,,
BB,bb-act4d-d,D,Sentido espacial,,,,,,,,,,,,,,,,,,,,,,,,
BB,bb-act4d-e,E,Sentido estocástico,,,,,,,,,,,,,,,,,,,,,,,,
BB,bb-act4d-f,F,La materia y la energía,,,,,,,,,,,,,,,,,,,,,,,,
BB,bb-act4d-g,G,La interacción,,,,,,,,,,,,,,,,,,,,,,,,
BB,bb-act4d-h,H,La célula y la genética,,,,,,,,,,,,,,,,,,,,,,,,
BB,bb-act4d-i,I,La Tierra en el universo,,,,,,,,,,,,,,,,,,,,,,,,
BB,bb-act4d-j,J,Geología,,,,,,,,,,,,,,,,,,,,,,,,
BB,bb-act4d-k,K,Sentido socioafectivo,,,,,,,,,,,,,,,,,,,,,,,,
