type,id,code,description,link1,link2,link3,link4,link5,link6,link7
KC,kc-cc,CC,Competencia ciudadana,,,,,,,
KC,kc-ccec,CCEC,Competencia en Conciencia y Expresión Culturales,,,,,,,
KC,kc-ccl,CCL,Competencia en comunicación lingüística,,,,,,,
KC,kc-cd,CD,Competencia digital,,,,,,,
KC,kc-ce,CE,Competencia Emprendedora,,,,,,,
KC,kc-cp,CP,Competencia Plurilingüe,,,,,,,
KC,kc-stem,STEM,"Competencia Matemática y Competencia en Ciencia, Tecnología e Ingeniería",,,,,,,
EC,ec-lat4-3.1,3.1,"Explicar de forma oral, escrita o multimodal el carácter clásico y humanista de las diversas manifestaciones literarias y artísticas de la civilización latina utilizando un vocabulario correcto y una expresión adecuada.",,,,,,,
EC,ec-lat4-3.2,3.2,"Reconocer el sentido global y las ideas principales y secundarias de un texto, contextualizándolo e identificando las referencias históricas, sociales, políticas o religiosas que aparecen en él, y sirviéndose de conocimientos sobre personajes y acontecimientos históricos ya estudiados.",,,,,,,
EC,ec-lat4-3.3,3.3,"Interpretar de manera crítica el contenido de textos latinos de dificultad adecuada, atendiendo al contexto en el que se produjeron, conectándolos con la experiencia propia y valorando cómo contribuyen a entender los modos de vida, costumbres y actitudes de nuestra sociedad.",,,,,,,
EC,ec-lat4-4.1,4.1,"Analizar los aspectos morfológicos, sintácticos y léxicos elementales de la lengua latina, identificándolos y comparándolos con los de la lengua familiar.",,,,,,,
EC,ec-lat4-4.2,4.2,"Traducir textos breves y sencillos con términos adecuados y expresión correcta en la lengua de enseñanza, justificando la traducción y manifestando la correspondencia entre el análisis y la versión realizada.",,,,,,,
EC,ec-lat4-4.3,4.3,Producir mediante retroversión oraciones simples utilizando las estructuras propias de la lengua latina.,,,,,,,
EC,ec-lat4-5.1,5.1,"Explicar los elementos de la civilización latina, especialmente los relacionados con la mitología clásica, identificándolos como fuente de inspiración de manifestaciones literarias y artísticas.",,,,,,,
EC,ec-lat4-5.2,5.2,"Reconocer las huellas de la romanización en el patrimonio cultural y arqueológico del entorno, identificando los procesos de preservación, conservación y restauración como un aspecto fundamental de una ciudadanía comprometida con la sostenibilidad ambiental y el cuidado de su legado.",,,,,,,
EC,ec-lat4-5.3,5.3,"Exponer de forma oral, escrita o multimodal las conclusiones obtenidas a partir de la investigación, individual o colectiva, del legado material e inmaterial de la civilización romana y su pervivencia en el presente a través de soportes analógicos y digitales, seleccionando información, contrastándola y organizándola a partir de criterios de validez, calidad y fiabilidad.",,,,,,,
SB,sb-lat4-a1,A.1,"Aspectos geográficos, históricos, culturales, políticos y lingüísticos de la civilización latina presentes en la noción actual de Europa y de su cultura.",,,,,,,
SB,sb-lat4-a2,A.2,Estrategias y herramientas para relacionar el pasado y el presente a partir de los conocimientos adquiridos.,,,,,,,
SB,sb-lat4-a3,A.3,Obras fundamentales de la literatura latina en su contexto y su pervivencia a través de la tradición clásica.,,,,,,,
