type,id,code,description,link1,link2,link3,link4,link5
SC,sc-fis2-4,CEs 4,"Utilizar de forma autónoma, eficiente, crítica y responsable recursos en distintos formatos, plataformas digitales de información y de comunicación en el trabajo individual y colectivo para el fomento de la creatividad mediante la producción y el intercambio de materiales científicos y divulgativos que faciliten acercar la física a la sociedad como un campo de conocimientos accesible.",od-stem3,od-stem5,od-cd1,od-cd3,od-cpsaa4
SC,sc-fis2-5,CEs 5,"Aplicar técnicas de trabajo e indagación propias de la física, así como la experimentación, el razonamiento lógico-matemático y la cooperación, en la resolución de problemas y la interpretación de situaciones relacionadas, para poner en valor el papel de la física en una sociedad basada en valores éticos y sostenibles.",od-stem1,od-cpsaa3.2,od-cc4,od-ce3,
SC,sc-fis2-6,CEs 6,"Reconocer y analizar el carácter multidisciplinar de la física, considerando su relevante recorrido histórico y sus contribuciones al avance del conocimiento científico como un proceso en continua evolución e innovación, para establecer unas bases de conocimiento y relación con otras disciplinas científicas.",od-stem2,od-stem5,od-cpsaa5,od-ce1,
EC,ec-fis2-1.1,1.1,"Reconocer la relevancia de la física en el desarrollo de la ciencia, la tecnología, la economía, la sociedad y la sostenibilidad ambiental, empleando adecuadamente los fundamentos científicos relativos a esos ámbitos.",,,,,
EC,ec-fis2-1.2,1.2,"Resolver problemas de manera experimental y analítica, utilizando principios, leyes y teorías de la física.",,,,,
EC,ec-fis2-2.1,2.1,"Analizar y comprender la evolución de los sistemas naturales, utilizando modelos, leyes y teorías de la física.",,,,,
EC,ec-fis2-2.2,2.2,Inferir soluciones a problemas generales a partir del análisis de situaciones particulares y las variables de que dependen.,,,,,
EC,ec-fis2-2.3,2.3,"Conocer aplicaciones prácticas y productos útiles para la sociedad en el campo tecnológico, industrial y biosanitario, analizándolos en base a los modelos, las leyes y las teorías de la física.",,,,,
EC,ec-fis2-3.1,3.1,"Aplicar los principios, leyes y teorías científicas en el análisis crítico de procesos físicos del entorno, como los observados y los publicados en distintos medios de comunicación, analizando, comprendiendo y explicando las causas que los producen.",,,,,
EC,ec-fis2-3.2,3.2,"Utilizar de manera rigurosa las unidades de las variables físicas en diferentes sistemas de unidades, empleando correctamente su notación y sus equivalencias, así como la elaboración e interpretación adecuada de gráficas que relacionan variables físicas, posibilitando una comunicación efectiva con toda la comunidad científica.",,,,,
EC,ec-fis2-3.3,3.3,"Expresar de forma adecuada los resultados, argumentando las soluciones obtenidas, en la resolución de los ejercicios y problemas que se plantean, bien sea a través de situaciones reales o ideales.",,,,,
EC,ec-fis2-4.1,4.1,"Consultar, elaborar e intercambiar materiales científicos y divulgativos en distintos formatos con otros miembros del entorno de aprendizaje, utilizando de forma autónoma y eficiente plataformas digitales.",,,,,
EC,ec-fis2-4.2,4.2,"Usar de forma crítica, ética y responsable medios de comunicación digitales y tradicionales como modo de enriquecer el aprendizaje y el trabajo individual y colectivo.",,,,,
EC,ec-fis2-5.1,5.1,"Obtener relaciones entre variables físicas, midiendo y tratando los datos experimentales, determinando los errores y utilizando sistemas de representación gráfica.",,,,,
EC,ec-fis2-5.2,5.2,"Reproducir en laboratorios, reales o virtuales, determinados procesos físicos modificando las variables que los condicionan, considerando los principios, leyes o teorías implicados, generando el correspondiente informe con formato adecuado e incluyendo argumentaciones, conclusiones, tablas de datos, gráficas y referencias bibliográficas.",,,,,
EC,ec-fis2-5.3,5.3,"Valorar la física, debatiendo de forma fundamentada sobre sus avances y la implicación en la sociedad desde el punto de vista de la ética y de la sostenibilidad.",,,,,
EC,ec-fis2-6.1,6.1,"Identificar los principales avances científicos relacionados con la física que han contribuido a la formulación de las leyes y teorías aceptadas actualmente en el conjunto de las disciplinas científicas, como las fases para el entendimiento de las metodologías de la ciencia, su evolución constante y su universalidad.",,,,,
EC,ec-fis2-6.2,6.2,"Reconocer el carácter multidisciplinar de la ciencia y las contribuciones de unas disciplinas sobre otras, estableciendo relaciones entre la física y la química, la biología, la geología o las matemáticas.",,,,,
SB,sb-fis2-a1,A.1,"Determinación, a través del cálculo vectorial, del campo gravitatorio producido por un sistema de masas. Efectos sobre las variables cinemáticas y dinámicas de objetos inmersos en el campo.",,,,,
SB,sb-fis2-a2,A.2,"Momento angular de un objeto en un campo gravitatorio: cálculo, relación con las fuerzas centrales y aplicación de su conservación en el estudio de su movimiento.",,,,,
SB,sb-fis2-a3,A.3,"Energía mecánica de un objeto sometido a un campo gravitatorio: deducción del tipo de movimiento que posee, cálculo del trabajo o los balances energéticos existentes en desplazamientos entre distintas posiciones, velocidades y tipos de trayectorias.",,,,,
SB,sb-fis2-a4,A.4,Leyes que se verifican en el movimiento planetario y extrapolación al movimiento de satélites y cuerpos celestes.,,,,,
SB,sb-fis2-a5,A.5,"Introducción a la cosmología y la astrofísica como aplicación del campo gravitatorio: implicación de la física en la evolución de objetos astronómicos, del conocimiento del universo y repercusión de la investigación en estos ámbitos en la industria, la tecnología, la economía y en la sociedad, especialmente en el caso asturiano.",,,,,
SB,sb-fis2-b1,B.1,"Campos eléctrico y magnético: tratamiento vectorial, determinación de las variables cinemáticas y dinámicas de cargas eléctricas libres en presencia de estos campos. Fenómenos naturales y aplicaciones tecnológicas en los que se aprecian estos efectos.",,,,,
SB,sb-fis2-b2,B.2,"Intensidad del campo eléctrico en distribuciones de cargas discretas, y continuas: cálculo e interpretación del flujo de campo eléctrico.",,,,,
SB,sb-fis2-b3,B.3,Energía de una distribución de cargas estáticas: magnitudes que se modifican y que-permanecen constantes con el desplazamiento de cargas libres entre puntos de distinto potencial eléctrico.,,,,,
SB,sb-fis2-b4,B.4,"Campos magnéticos generados por hilos con corriente eléctrica en distintas configuraciones geométricas: rectilíneos, espiras, solenoides o toros. Interacción con cargas eléctricas libres presentes en su entorno.",,,,,
SB,sb-fis2-b5,B.5,"Líneas de campo eléctrico y magnético producido por distribuciones de carga sencillas, imanes e hilos con corriente eléctrica en distintas configuraciones geométricas.",,,,,
SB,sb-fis2-b6,B.6,"Generación de la fuerza electromotriz: funcionamiento de motores, generadores y transformadores a partir de sistemas donde se produce una variación del flujo magnético.",,,,,
SB,sb-fis2-c1,C.1,Movimiento oscilatorio: variables cinemáticas de un cuerpo oscilante y conservación de energía en estos sistemas.,,,,,
SB,sb-fis2-c2,C.2,"Movimiento ondulatorio: gráficas de oscilación en función de la posición y del tiempo, ecuación de onda que lo describe y relación con el movimiento armónico simple. Distintos tipos de movimientos ondulatorios en la naturaleza.",,,,,
SB,sb-fis2-c3,C.3,Fenómenos ondulatorios: situaciones y contextos naturales en los que se ponen de manifiesto distintos fenómenos ondulatorios y aplicaciones. Ondas sonoras y sus cualidades. Cambios en las propiedades de las ondas en función del desplazamiento del emisor y receptor.,,,,,
SB,sb-fis2-c4,C.4,Naturaleza de la luz: controversias y debates históricos. La luz como onda electromagnética. Espectro electromagnético.,,,,,
SB,sb-fis2-c5,C.5,"Formación de imágenes en medios y objetos con distinto índice de refracción. Sistemas ópticos: lentes delgadas, espejos planos y curvos y sus aplicaciones.",,,,,
SB,sb-fis2-d1,D.1,"Principios fundamentales de la Relatividad especial y sus consecuencias: contracción de la longitud, dilatación del tiempo, energía y masa relativistas.",,,,,
SB,sb-fis2-d2,D.2,Dualidad onda-corpúsculo y cuantización: hipótesis de De Broglie y efecto fotoeléctrico. Principio de incertidumbre formulado en base al tiempo y la energía.,,,,,
SB,sb-fis2-d3,D.3,Modelo estándar en la física de partículas. Clasificaciones de las partículas fundamentales. Las interacciones fundamentales como procesos de intercambio de partículas (bosones). Aceleradores de partículas.,,,,,
SB,sb-fis2-d4,D.4,"Núcleos atómicos y estabilidad de isótopos. Radiactividad natural y otros procesos nucleares. Aplicaciones en los campos de la ingeniería, la tecnología y la salud.",,,,,
