type,id,code,description,link1,link2,link3,link4,link5,link6,link7
SB,sb-ctv1-a4,A.4,"Piezas vocales sencillas, de diferentes épocas y estilos del ámbito occidental, así como de otros ámbitos culturales y de origen popular, incluyendo piezas del repertorio de música asturiana.",,,,,,,
SB,sb-ctv1-b1,B.1,Práctica de la relajación y la concentración.,,,,,,,
SB,sb-ctv1-b2,B.2,Cuidado de la voz y postura del cuerpo.,,,,,,,
SB,sb-ctv1-b3,B.3,"Elementos de la producción vocal: respiración, emisión, articulación, resonancias y dinámica.",,,,,,,
SB,sb-ctv1-b4,B.4,Técnicas de expresión corporal. Relación de la emisión vocal y el movimiento.,,,,,,,
SB,sb-ctv1-b5,B.5,Ejercicios y vocalizaciones. Improvisaciones.,,,,,,,
SB,sb-ctv1-b6,B.6,El oído armónico y la afinación: entonación de intervalos melódicos y armónicos sencillos.,,,,,,,
SB,sb-ctv1-c1,C.1,"El sonido de conjunto: respiración, ataque, afinación, articulación, ritmo, fraseo y dinámica. Equilibrio entre voces y planos sonoros.",,,,,,,
SB,sb-ctv1-c2,C.2,Premisas para el desarrollo de la improvisación.,,,,,,,
SB,sb-ctv1-c3,C.3,La percusión corporal y otros diseños coreográficos.,,,,,,,
SB,sb-ctv1-c4,C.4,La lectura básica de partituras con notación convencional y no convencional.,,,,,,,
SB,sb-ctv1-c5,C.5,La memoria musical.,,,,,,,
SB,sb-ctv1-c6,C.6,Compromiso con los objetivos grupales.,,,,,,,
SB,sb-ctv1-c7,C.7,Indicaciones y gestos de la dirección coral.,,,,,,,
SB,sb-ctv1-c8,C.8,"Repertorio de coro de diferentes épocas y estilos del ámbito occidental, incluido el asturiano, así como de otros ámbitos culturales, de nivel básico, con o sin acompañamiento instrumental.",,,,,,,
SB,sb-ctv1-c9,C.9,"El texto y su métrica como base de la articulación, la velocidad y la precisión rítmica.",,,,,,,
SB,sb-ctv1-c10,C.10,Actitud escénica y relación con el público.,,,,,,,
