type,id,code,description,link1,link2,link3,link4,link5,link6,link7,link8,link9,link10,link11,link12
OD,od-cd1,CD1,"Realiza búsquedas avanzadas comprendiendo cómo funcionan los motores de búsqueda en internet aplicando criterios de validez, calidad, actualidad y fiabilidad, seleccionando los resultados de manera crítica y organizando el almacenamiento de la información de manera adecuada y segura para referenciarla y reutilizarla posteriormente.",kc-cd,,,,,,,,,,,
OD,od-cpsaa5,CPSAA5,"Planifica a largo plazo evaluando los propósitos y los procesos de la construcción del conocimiento, relacionando los diferentes campos del mismo para desarrollar procesos autorregulados de aprendizaje que le permitan transmitir ese conocimiento, proponer ideas creativas y resolver problemas con autonomía.",kc-cpsaa,,,,,,,,,,,
OD,od-cc4,CC4,"Analiza las relaciones de interdependencia y ecodependencia entre nuestras formas de vida y el entorno, realizando un análisis crítico de la huella ecológica de las acciones humanas, y demostrando un compromiso ético y ecosocialmente responsable con actividades y hábitos que conduzcan al logro de los Objetivos de Desarrollo Sostenible y la lucha contra el cambio climático.",kc-cc,,,,,,,,,,,
OD,od-ccl3,CCL3,"Localiza, selecciona y contrasta de manera autónoma información procedente de diferentes fuentes evaluando su fiabilidad y pertinencia en función de los objetivos de lectura y evitando los riesgos de manipulación y desinformación, y la integra y transforma en conocimiento para comunicarla de manera clara y rigurosa adoptando un punto de vista creativo y crítico a la par que respetuoso con la propiedad intelectual.",kc-ccl,,,,,,,,,,,
OD,od-stem5,STEM5,"Planea y emprende acciones fundamentadas científicamente para promover la salud física y mental, y preservar el medio ambiente y los seres vivos, practicando el consumo responsable, aplicando principios de ética y seguridad para crear valor y transformar su entorno de forma sostenible adquiriendo compromisos como ciudadano en el ámbito local y global.",kc-stem,,,,,,,,,,,
OD,od-cc1,CC1,"Analiza hechos, normas e ideas relativas a la dimensión social, histórica, cívica y moral de su propia identidad, para contribuir a la consolidación de su madurez personal y social, adquirir una conciencia ciudadana y responsable, desarrollar la autonomía y el espíritu crítico, y establecer una interacción pacífica y respetuosa con otras personas y con el entorno.",kc-cc,,,,,,,,,,,
OD,od-cc2,CC2,"Reconoce, analiza y aplica en diversos contextos, de forma crítica y consecuente, los principios, ideales y valores relativos al proceso de integración europea, la Constitución Española, los derechos humanos, y la historia y el patrimonio cultural propios, a la vez que participa en todo tipo de actividades grupales con una actitud fundamentada en los principios y procedimientos democráticos, el compromiso ético con la igualdad, la cohesión social, el desarrollo sostenible y el logro de la ciudadanía mundial.",kc-cc,,,,,,,,,,,
OD,od-cc3,CC3,"Adopta un juicio propio y argumentado ante problemas éticos y filosóficos fundamentales y de actualidad, afrontando con actitud dialogante la pluralidad de valores, creencias e ideas, rechazando todo tipo de discriminación y violencia, y promoviendo activamente la igualdad y corresponsabilidad efectiva entre mujeres y hombres.",kc-cc,,,,,,,,,,,
SC,sc-tda2-1,CEs 1,"Configurar dispositivos informáticos aplicando la funcionalidad de los sistemas operativos y conectar dichos dispositivos a redes domésticas o educativas aplicando los conocimientos de hardware y software necesarios, para conseguir su correcto funcionamiento y para resolver problemas sencillos o frecuentes tanto técnicos como de conectividad.",od-stem1,od-stem2,od-cd3,od-cd4,od-cd5,od-cpsaa2,,,,,,
SC,sc-tda2-2,CEs 2,Diseñar y manipular digitalmente elementos multimedia aplicando las herramientas y los procedimientos adecuados para obtener creaciones digitales como producto final pudiendo incorporarlas a otras aplicaciones o creaciones cooperativas.,od-stem3,od-cd2,od-cd3,od-cd4,od-cd5,od-cpsaa1.1,od-cpsaa4,od-ce1,od-ce3,od-ccec3.1,od-ccec3.2,od-ccec4.1
SC,sc-tda2-3,CEs 3,"Utilizar lenguajes de programación y de marcas en el diseño de aplicaciones informáticas y contenidos para la web, integrando elementos multimedia para generar productos o creaciones digitales como forma de expresión y de resolución de problemas.",od-cp1,od-stem1,od-stem3,od-stem4,od-cd2,od-cd5,od-cpsaa2,od-ce3,,,,
SC,sc-tda2-4,CEs 4,"Obtener y tratar conjuntos de datos aplicados a distintas áreas de conocimiento, realizando simulaciones mediante técnicas de inteligencia artificial, creando visualizaciones gráficas relevantes y aplicando herramientas de aprendizaje automático, para observar, analizar y comprender fenómenos naturales y sociales de nuestro entorno.",od-ccl2,od-stem1,od-stem2,od-stem4,od-cd1,od-cd2,od-cd4,od-cpsaa5,od-cc4,,,
SC,sc-tda2-5,CEs 5,"Identificar los riesgos asociados a la interacción con todo tipo de sistemas digitales y adquirir hábitos que fomenten el bienestar digital, y la protección y seguridad de los y las adolescentes, seleccionando y aplicando estrategias y técnicas para actuar de forma",od-ccl3,od-stem5,od-cd2,od-cd4,od-cpsaa2,od-cpsaa5,od-cc1,od-cc2,od-cc3,,,
EC,ec-tda2-1.1,1.1,Conocer y utilizar distintas soluciones de virtualización para gestionar aplicaciones y servicios en distintos sistemas operativos.,,,,,,,,,,,,
EC,ec-tda2-1.2,1.2,Conectar y gestionar objetos cotidianos y accesorios tecnológicos (wearables) aplicando la tecnología de internet de las cosas.,,,,,,,,,,,,
EC,ec-tda2-1.3,1.3,Valorar las posibilidades de tratamiento de los datos que generan estos objetos y sus opciones de configuración y programación para conseguir un funcionamiento óptimo.,,,,,,,,,,,,
EC,ec-tda2-2.1,2.1,"Identificar distintas aplicaciones de realidad virtual y realidad aumentada y los dispositivos que utilizan, valorando las aportaciones que el uso de estas tecnologías proporciona a los sectores a los que se dirigen.",,,,,,,,,,,,
EC,ec-tda2-2.2,2.2,Identificar herramientas que permitan añadir información digital sobre la información física del mundo real a través de un dispositivo y conocer sus posibilidades.,,,,,,,,,,,,
EC,ec-tda2-2.3,2.3,Crear contenidos de realidad aumentada que proporcionen experiencias inmersivas e interactivas mostrando iniciativa y usándolas como fuente de enriquecimiento cultural.,,,,,,,,,,,,
EC,ec-tda2-3.1,3.1,Comprender el proceso de desarrollo de un programa informático valorando la importancia de aplicar cada una de sus fases de forma rigurosa y sistemática.,,,,,,,,,,,,
EC,ec-tda2-3.2,3.2,"Crear programas informáticos funcionales utilizando las estructuras de un lenguaje de programación, identificando similitudes en la resolución de problemas para reutilizar las soluciones.",,,,,,,,,,,,
EC,ec-tda2-3.3,3.3,"Diseñar y desarrollar de forma colaborativa una aplicación multimedia interactiva, utilizando tecnologías y librerías específicas.",,,,,,,,,,,,
EC,ec-tda2-4.1,4.1,Conocer los aspectos fundamentales de la ciencia de datos y de la inteligencia artificial valorando su impacto en nuestra sociedad.,,,,,,,,,,,,
EC,ec-tda2-4.2,4.2,"Explorar y transformar informes interactivos que permitan analizar fenómenos naturales o sociales del entorno, mediante herramientas basadas en soluciones big data.",,,,,,,,,,,,
EC,ec-tda2-4.3,4.3,Entrenar modelos de aprendizaje automático a partir de distintos conjuntos de datos para comprender su funcionamiento.,,,,,,,,,,,,
EC,ec-tda2-4.4,4.4,Identificar aplicaciones reales que incorporan inteligencia artificial valorando su importancia y sus beneficios e inconvenientes.,,,,,,,,,,,,
EC,ec-tda2-5.1,5.1,"Identificar casos en los que es importante proteger la información, asociando el tipo de algoritmo de codificación que mejor se adapta al caso.",,,,,,,,,,,,
EC,ec-tda2-5.2,5.2,"Usar herramientas tanto para el uso de la firma digital como para la comprobación y gestión de certificados digitales, reconociendo la importancia de su utilización en la realización de todo tipo de trámites electrónicos.",,,,,,,,,,,,
EC,ec-tda2-5.3,5.3,"Reconocer los datos personales, clasificándolos en datos especialmente protegidos, identificativos, relativos a características personales, circunstancias sociales, académicas y profesionales, comerciales, etc.",,,,,,,,,,,,
EC,ec-tda2-5.4,5.4,"Conocer e identificar los derechos de los ciudadanos en el tratamiento de los datos personales para poder ejercer esos derechos de forma consciente, ante los responsables del tratamiento de los datos.",,,,,,,,,,,,
EC,ec-tda2-5.5,5.5,"Descubrir los datos enviados en el uso de aplicaciones habituales, las posibilidades que nos ofrecen para gestionar la privacidad buscando alternativas más seguras.",,,,,,,,,,,,
SB,sb-tda2-a1,A.1,Soluciones de virtualización y servicios en la nube.,,,,,,,,,,,,
SB,sb-tda2-a2,A.2,Dispositivos conectados (IoT y wearables). Configuración y conexión de dispositivos.,,,,,,,,,,,,
SB,sb-tda2-b1,B.1,"Realidad virtual, aumentada y mixta.",,,,,,,,,,,,
SB,sb-tda2-b2,B.2,La realidad aumentada aplicada a la transferencia de conocimiento. Herramientas básicas para la creación de contenidos con realidad aumentada.,,,,,,,,,,,,
SB,sb-tda2-c1,C.1,Herramientas de desarrollo de software para múltiples dispositivos y sus lenguajes.,,,,,,,,,,,,
SB,sb-tda2-c2,C.2,Estructuras básicas de la programación y su funcionalidad en el desarrollo de aplicaciones de software.,,,,,,,,,,,,
SB,sb-tda2-c3,C.3,Diseño y análisis de interfaces para distintos tipos de aplicaciones de software.,,,,,,,,,,,,
SB,sb-tda2-c4,C.4,"Integración de contenidos multimedia, interacción con el usuario y gestión de eventos.",,,,,,,,,,,,
SB,sb-tda2-d1,D.1,Big data. Características y aplicaciones. Herramientas de visualización de datos basadas en soluciones big data.,,,,,,,,,,,,
SB,sb-tda2-d2,D.2,Fundamentos y campos de aplicación de la inteligencia artificial.,,,,,,,,,,,,
SB,sb-tda2-d3,D.3,El aprendizaje automático. Entrenar un modelo y verificar su comportamiento. Aplicaciones.,,,,,,,,,,,,
SB,sb-tda2-e1,E.1,Aplicaciones de la criptografía en seguridad.,,,,,,,,,,,,
SB,sb-tda2-e2,E.2,Herramientas de gestión de claves y firmas electrónicas.,,,,,,,,,,,,
SB,sb-tda2-e3,E.3,Aspectos relevantes de la protección de datos e información personales y normativa en materia de privacidad y ciberseguridad.,,,,,,,,,,,,
