type,id,code,description,link1,link2,link3,link4,link5,link6,link7
SC,sc-eart4-4,CEs 4,"Crear producciones artísticas, individuales o grupales, realizadas con diferentes técnicas y herramientas, incluido el propio cuerpo, a partir de un motivo o intención previos, adaptando el diseño y el proceso a las necesidades e indicaciones de realización y teniendo en cuenta las características del público destinatario, para compartirlas y valorar las oportunidades de desarrollo personal, social, académico o profesional que pueden derivarse de esta actividad.",od-ccl1,od-stem3,od-cd3,od-cpsaa3,od-cpsaa5,od-ce3,od-ccec4
EC,ec-eart4-1.1,1.1,"Analizar manifestaciones artísticas de diferentes épocas y culturas, contextualizándolas, describiendo sus aspectos esenciales, valorando el proceso de creación y el resultado final, y evidenciando una actitud de apertura, interés y respeto en su recepción.",,,,,,,
EC,ec-eart4-1.2,1.2,"Valorar críticamente los hábitos, los gustos y los referentes artísticos de diferentes épocas y culturas, reflexionando sobre su evolución y sobre su relación con los del presente.",,,,,,,
EC,ec-eart4-2.1,2.1,"Participar, con iniciativa, confianza y creatividad, en la exploración de diferentes técnicas gráfico-plásticas, empleando herramientas, medios, soportes y lenguajes.",,,,,,,
EC,ec-eart4-2.2,2.2,"Elaborar producciones gráfico-plásticas de forma creativa, determinando las intenciones expresivas y seleccionando con corrección las herramientas, medios, soportes y lenguajes más adecuados de entre los que conforman el repertorio personal de recursos.",,,,,,,
EC,ec-eart4-3.1,3.1,"Participar, con iniciativa, confianza y creatividad, en la exploración de diferentes medios, técnicas y formatos audiovisuales, decodificando sus lenguajes, identificando las herramientas y distinguiendo sus fines.",,,,,,,
EC,ec-eart4-3.2,3.2,"Realizar producciones audiovisuales, individuales o colaborativas, asumiendo diferentes funciones; incorporando el uso de las tecnologías digitales con una intención expresiva; buscando un resultado final ajustado al proyecto preparado previamente; y seleccionando y empleando, con corrección y de forma creativa, las herramientas y medios disponibles más adecuados.",,,,,,,
EC,ec-eart4-4.1,4.1,"Crear un producto artístico individual o grupal, de forma colaborativa y abierta, diseñando las fases del proceso y seleccionando las técnicas y herramientas más adecuadas para conseguir un resultado adaptado a una intención y a un público determinados.",,,,,,,
EC,ec-eart4-4.2,4.2,"Exponer el resultado final de la creación de un producto artístico, individual o grupal, poniendo en común y valorando críticamente el desarrollo de su elaboración, las dificultades encontradas, los progresos realizados y los logros alcanzados.",,,,,,,
EC,ec-eart4-4.3,4.3,"Identificar oportunidades de desarrollo personal, social, académico o profesional relacionadas con el ámbito artístico, comprendiendo su valor añadido y expresando la opinión personal de forma razonada y respetuosa.",,,,,,,
SB,sb-eart4-a1,A.1,"Los efectos del gesto y del instrumento: herramientas, medios y soportes. Cualidades plásticas y efectos visuales.",,,,,,,
SB,sb-eart4-a2,A.2,"Técnicas de dibujo, ilustración y pintura y su representación en el Patrimonio Asturiano: técnicas secas y húmedas.",,,,,,,
SB,sb-eart4-a3,A.3,Técnicas mixtas y alternativas de las vanguardias artísticas. Posibilidades expresivas y contexto histórico.,,,,,,,
SB,sb-eart4-a4,A.4,"Técnicas de estampación: procedimientos directos, aditivos, sustractivos y mixtos.",,,,,,,
SB,sb-eart4-a5,A.5,Grafiti y pintura mural.,,,,,,,
SB,sb-eart4-a6,A.6,Técnicas básicas de creación de volúmenes.,,,,,,,
SB,sb-eart4-a7,A.7,"El arte del reciclaje. Consumo responsable. Productos ecológicos, sostenibles e innovadores en la práctica artística. Arte y naturaleza.",,,,,,,
SB,sb-eart4-a8,A.8,"Seguridad, toxicidad e impacto medioambiental de los diferentes materiales artísticos. Prevención y gestión responsable de los residuos.",,,,,,,
SB,sb-eart4-a9,A.9,Ejemplos de aplicación de técnicas gráfico-plásticas en diferentes manifestaciones artísticas y en el ámbito del diseño.,,,,,,,
SB,sb-eart4-b1,B.1,Elementos y principios básicos del lenguaje visual y de la percepción. Color y composición.,,,,,,,
SB,sb-eart4-b2,B.2,"Narrativa de la imagen fija: encuadre y planificación, puntos de vista y angulación. La imagen secuenciada.",,,,,,,
SB,sb-eart4-b3,B.3,Fotografía analógica: cámara oscura. Fotografía sin cámara (fotogramas). Técnicas fotográficas experimentales: cianotipia o antotipia.,,,,,,,
SB,sb-eart4-b4,B.4,Fotografía digital. El fotomontaje digital y tradicional.,,,,,,,
SB,sb-eart4-b5,B.5,"Seguridad, toxicidad e impacto medioambiental de los diferentes materiales artísticos. Prevención y gestión responsable de los residuos.",,,,,,,
SB,sb-eart4-b6,B.6,"Narrativa audiovisual: fotograma, secuencia, escena, toma, plano y montaje. El guion y el storyboard.",,,,,,,
SB,sb-eart4-b7,B.7,"El proceso de creación. Realización y seguimiento: guion o proyecto, presentación final y evaluación (autorreflexión, autoevaluación y evaluación colectiva).",,,,,,,
SB,sb-eart4-b8,B.8,"Publicidad: recursos formales, lingüísticos y persuasivos. Estereotipos y sociedad de consumo. El sexismo y los cánones corporales y sexuales en los medios de comunicación.",,,,,,,
SB,sb-eart4-b9,B.9,"Campos y ramas del diseño: gráfico, de producto, de moda, de interiores, escenografía.",,,,,,,
SB,sb-eart4-b10,B.10,Técnicas básicas de animación.,,,,,,,
SB,sb-eart4-b11,B.11,Recursos digitales para la creación de proyectos de vídeo-arte.,,,,,,,
