type,id,code,description,link1,link2,link3,link4,link5,link6,link7,link8,link9,link10,link11
OD,od-cc3,CC3,"Adopta un juicio propio y argumentado ante problemas éticos y filosóficos fundamentales y de actualidad, afrontando con actitud dialogante la pluralidad de valores, creencias e ideas, rechazando todo tipo de discriminación y violencia, y promoviendo activamente la igualdad y corresponsabilidad efectiva entre mujeres y hombres.",kc-cc,,,,,,,,,,
OD,od-cc4,CC4,"Analiza las relaciones de interdependencia y ecodependencia entre nuestras formas de vida y el entorno, realizando un análisis crítico de la huella ecológica de las acciones humanas, y demostrando un compromiso ético y ecosocialmente responsable con actividades y hábitos que conduzcan al logro de los Objetivos de Desarrollo Sostenible y la lucha contra el cambio climático.",kc-cc,,,,,,,,,,
OD,od-ccec1,CCEC1,"Reflexiona, promueve y valora críticamente el patrimonio cultural y artístico de cualquier época, contrastando sus singularidades y partiendo de su propia identidad, para defender la libertad de expresión, la igualdad y el enriquecimiento inherente a la diversidad.",kc-ccec,,,,,,,,,,
OD,od-stem5,STEM5,"Planea y emprende acciones fundamentadas científicamente para promover la salud física y mental, y preservar el medio ambiente y los seres vivos, practicando el consumo responsable, aplicando principios de ética y seguridad para crear valor y transformar su entorno de forma sostenible adquiriendo compromisos como ciudadano en el ámbito local y global.",kc-stem,,,,,,,,,,
OD,od-cd2,CD2,"Crea, integra y reelabora contenidos digitales de forma individual o colectiva, aplicando medidas de seguridad y respetando, en todo momento, los derechos de autoría digital para ampliar sus recursos y generar nuevo conocimiento.",kc-cd,,,,,,,,,,
OD,od-ce1,CE1,"Evalúa necesidades y oportunidades y afronta retos, con sentido crítico y ético, evaluando su sostenibilidad y comprobando, a partir de conocimientos técnicos específicos, el impacto que puedan suponer en el entorno, para presentar y ejecutar ideas y soluciones innovadoras dirigidas a distintos contextos, tanto locales como globales, en el ámbito personal, social y académico con proyección profesional emprendedora.",kc-ce,,,,,,,,,,
OD,od-ccec4.1,CCEC4.1,"Selecciona e integra con creatividad diversos medios y soportes, así como técnicas plásticas, visuales, audiovisuales, sonoras o corporales, para diseñar y producir proyectos artísticos y culturales sostenibles, analizando las oportunidades de desarrollo personal, social y laboral que ofrecen sirviéndose de la interpretación, la ejecución, la improvisación o la composición.",kc-ccec,,,,,,,,,,
OD,od-cd3,CD3,"Selecciona, configura y utiliza dispositivos digitales, herramientas, aplicaciones y servicios en línea y los incorpora en su entorno personal de aprendizaje digital para comunicarse, trabajar colaborativamente y compartir información, gestionando de manera responsable sus acciones, presencia y visibilidad en la red y ejerciendo una ciudadanía digital activa, cívica y reflexiva.",kc-cd,,,,,,,,,,
OD,od-stem3,STEM3,"Plantea y desarrolla proyectos diseñando y creando prototipos o modelos para generar o utilizar productos que den solución a una necesidad o problema de forma colaborativa, procurando la participación de todo el grupo, resolviendo pacíficamente los conflictos que puedan surgir, adaptándose ante la incertidumbre y evaluando el producto obtenido de acuerdo a los objetivos propuestos, la sostenibilidad y el impacto transformador en la sociedad.",kc-stem,,,,,,,,,,
OD,od-cpsaa3.2,CPSAA3.2,"Distribuye en un grupo las tareas, recursos y responsabilidades de manera ecuánime, según sus objetivos, favoreciendo un enfoque sistémico para contribuir a la consecución de objetivos compartidos.",kc-cpsaa,,,,,,,,,,
OD,od-cpsaa5,CPSAA5,"Planifica a largo plazo evaluando los propósitos y los procesos de la construcción del conocimiento, relacionando los diferentes campos del mismo para desarrollar procesos autorregulados de aprendizaje que le permitan transmitir ese conocimiento, proponer ideas creativas y resolver problemas con autonomía.",kc-cpsaa,,,,,,,,,,
OD,od-ce3,CE3,"Lleva a cabo el proceso de creación de ideas y soluciones innovadoras y toma decisiones, con sentido crítico y ético, aplicando conocimientos técnicos específicos y estrategias ágiles de planificación y gestión de proyectos, y reflexiona sobre el proceso realizado y el resultado obtenido, para elaborar un prototipo final de valor para el resto de las personas, considerando tanto la experiencia de éxito como de fracaso, una oportunidad para aprender.",kc-ce,,,,,,,,,,
OD,od-ccec4.2,CCEC4.2,"Planifica, adapta y organiza sus conocimientos, destrezas y actitudes para responder con creatividad y eficacia a los desempeños derivados de una producción cultural o artística, individual o colectiva, utilizando diversos lenguajes, códigos, técnicas, herramientas y recursos plásticos, visuales, audiovisuales, musicales, corporales o escénicos, valorando tanto el proceso como el producto final y comprendiendo las oportunidades personales, sociales, inclusivas y económicas que ofrecen.",kc-ccec,,,,,,,,,,
OD,od-ce2,CE2,"Evalúa y reflexiona sobre las fortalezas y debilidades propias y las de otras personas, haciendo uso de estrategias de autoconocimiento y autoeficacia, interioriza los conocimientos económicos y financieros específicos y los transfiere a contextos locales y globales, aplicando estrategias y destrezas que agilicen el trabajo colaborativo y en equipo, para reunir y optimizar los recursos necesarios, que lleven a la acción una experiencia o iniciativa emprendedora de valor.",kc-ce,,,,,,,,,,
OD,od-ccec3.1,CCEC3.1,"Expresa ideas, opiniones, sentimientos y emociones con creatividad y espíritu crítico, realizando con rigor sus propias producciones culturales y artísticas, para participar de forma activa en la promoción de los derechos humanos y los procesos de socialización y de construcción de la identidad personal que se derivan de la práctica artística.",kc-ccec,,,,,,,,,,
OD,od-ccec3.2,CCEC3.2,"Descubre la autoexpresión, a través de la interactuación corporal y la experimentación con diferentes herramientas y lenguajes artísticos, enfrentándose a situaciones creativas con una actitud empática y colaborativa, y con autoestima, iniciativa e imaginación.",kc-ccec,,,,,,,,,,
OD,od-cpsaa2,CPSAA2,"Adopta de forma autónoma un estilo de vida sostenible y atiende al bienestar físico y mental propio y de otras personas, buscando y ofreciendo apoyo en la sociedad para construir un mundo más saludable.",kc-cpsaa,,,,,,,,,,
SC,sc-dis2-1,CEs 1,"Identificar los fundamentos del diseño a partir del análisis crítico de diversos productos de diseño bidimensional y tridimensional, para profundizar en la comprensión tanto de la complejidad de los procesos y herramientas que intervienen, como de la dimensión simbólica y semántica de sus lenguajes.",od-ccl1,od-ccl3,od-stem1,od-stem2,od-cd1,od-cpsaa4,od-cc1,od-ccec2,,,
SC,sc-dis2-2,CEs 2,"Reflexionar sobre los orígenes, los principios y las funciones del diseño, comparando y analizando producciones de diferentes épocas, estilos y ámbitos de aplicación, para valorar de manera crítica su impacto medioambiental, social y cultural.",od-ccl1,od-ccl3,od-stem2,od-cpsaa1.1,od-cc1,od-cc3,od-cc4,od-ccec1,,,
SC,sc-dis2-3,CEs 3,Analizar de manera crítica y rigurosa distintas configuraciones,od-stem1,od-stem5,od-cd2,od-cc1,od-cc4,od-ce1,od-ccec1,od-ccec2,od-ccec4.1,,
SC,sc-dis2-4,CEs 4,"Planificar proyectos de diseño individuales y colectivos, seleccionando con criterio las herramientas y recursos necesarios, para proponer y analizar críticamente soluciones creativas en respuesta a necesidades propias y ajenas.",od-cd3,od-stem3,od-cpsaa3.2,od-cpsaa5,od-cc4,od-ce1,od-ce3,od-ccec4.1,od-ccec4.2,,
SC,sc-dis2-5,CEs 5,"Desarrollar propuestas personales e imaginativas a partir de ideas o productos preexistentes, considerando la propiedad intelectual, para responder con creatividad a necesidades propias y ajenas y potenciar la autoestima y el crecimiento personal.",od-stem3,od-cpsaa1.1,od-cc1,od-cc4,od-ce1,od-ce2,od-ce3,od-ccec3.1,od-ccec3.2,od-ccec4.1,od-ccec4.2
SC,sc-dis2-6,CEs 6,"Crear productos de diseño, respondiendo con creatividad a necesidades concretas, incluidas las del diseño inclusivo y las relativas a la sostenibilidad, y cuidando la corrección técnica, la coherencia y el rigor de la factura del producto, para potenciar una actitud crítica y responsable que favorezca el desarrollo personal, académico o profesional en el campo del diseño.",od-stem3,od-cd3,od-cpsaa2,od-cc4,od-ce1,od-ce3,od-ccec3.2,od-ccec4.1,od-ccec4.2,,
EC,ec-dis2-1.1,1.1,"Reconocer la relación entre las formas y las funciones en objetos de diseño, bidimensionales o tridimensionales, percibiéndolos proactivamente como productos susceptibles de transformaciones y mejoras.",,,,,,,,,,,
EC,ec-dis2-1.2,1.2,"Explicar en los objetos de diseño las dimensiones simbólicas y semánticas propias de su lenguaje, identificando sus elementos sintácticos y constitutivos con actitud receptiva y respetuosa.",,,,,,,,,,,
EC,ec-dis2-2.1,2.1,"Identificar las características fundamentales de los movimientos, corrientes, escuelas y teóricos relacionados con el diseño, comparando productos de diseño de contextos geográficos, históricos y sociales diversos, y reflexionando de manera crítica sobre las aportaciones de las mujeres y de las culturas no occidentales.",,,,,,,,,,,
EC,ec-dis2-2.2,2.2,"Analizar de manera crítica las diferentes soluciones de diseño vinculadas a un mismo problema, reflexionando sobre su impacto en el entorno y estableciendo argumentos que promuevan una conciencia comprometida con el medio ambiente y con el diseño sostenible.",,,,,,,,,,,
EC,ec-dis2-3.1,3.1,"Reconocer las estructuras formales, compositivas y estructurales en objetos y productos de diferentes ámbitos del diseño, analizando los procesos y métodos utilizados para desarrollarlos, así como las finalidades funcionales y comunicativas de las que parten y su impacto en aspectos tales como la inclusión, la sostenibilidad y el consumo responsable.",,,,,,,,,,,
EC,ec-dis2-3.2,3.2,"Analizar las relaciones compositivas en distintos productos de diseño, identificando los elementos básicos del lenguaje visual y explicando su impacto en aspectos como la inclusión, la sostenibilidad y el consumo responsable.",,,,,,,,,,,
EC,ec-dis2-4.1,4.1,"Planificar adecuadamente proyectos de diseños individuales o colectivos, estableciendo objetivos en función del impacto de comunicación buscado, programando las distintas fases del plan de desarrollo, seleccionando con criterio las herramientas y recursos y priorizando la sostenibilidad.",,,,,,,,,,,
EC,ec-dis2-4.2,4.2,"Participar activamente en la organización adecuada de los equipos de trabajo de los proyectos de diseño colaborativo, identificando las habilidades requeridas y repartiendo y asumiendo las tareas con criterio.",,,,,,,,,,,
EC,ec-dis2-4.3,4.3,"Evaluar las propuestas de planificación propias y ajenas de manera crítica y argumentada, analizando su adecuación al impacto de comunicación buscado.",,,,,,,,,,,
EC,ec-dis2-5.1,5.1,"Proyectar soluciones de diseño innovadoras en respuesta a necesidades personales o de expresión propias, a partir de ideas o productos preexistentes.",,,,,,,,,,,
EC,ec-dis2-5.2,5.2,"Evaluar críticamente las propuestas de diseño personales, valorando su coherencia y adecuación, y considerando el respeto a la propiedad intelectual, tanto a la ajena como a la propia.",,,,,,,,,,,
EC,ec-dis2-6.1,6.1,"Realizar proyectos elementales de diseño gráfico, diseño industrial o diseño de espacios habitables, de manera individual y colectiva, aplicando soluciones creativas en la elaboración de un producto innovador, y teniendo en cuenta sus implicaciones sociales, económicas y de transformación, así como los aspectos relacionados con la propiedad intelectual.",,,,,,,,,,,
EC,ec-dis2-6.2,6.2,"Evaluar de manera crítica y argumentada trabajos de diseño propios y ajenos, valorando tanto la selección coherente y adecuada de los recursos técnicos, como el rigor y la corrección en la aplicación de las técnicas de ejecución, desarrollo y presentación del producto, además de su grado de adecuación al impacto de comunicación buscado y al respeto a la propiedad intelectual.",,,,,,,,,,,
EC,ec-dis2-6.3,6.3,"Identificar las posibilidades de intervención del diseño inclusivo en diferentes ámbitos de la actividad humana, poniendo en valor los proyectos innovadores y transformadores de la sociedad.",,,,,,,,,,,
EC,ec-dis2-6.4,6.4,"Realizar colectivamente un proyecto de diseño inclusivo, priorizando su adecuación a una o varias diversidades funcionales concretas, utilizando de manera creativa las configuraciones formales y argumentando las decisiones tomadas.",,,,,,,,,,,
SB,sb-dis2-a1,A.1,"El diseño, sus clasificaciones y campos de aplicación.",,,,,,,,,,,
SB,sb-dis2-a2,A.2,Evolución histórica del diseño. Concepto y teorías del diseño. Artesanía e industrialización.,,,,,,,,,,,
SB,sb-dis2-a3,A.3,"Tendencias, periodos y principales escuelas y figuras más representativas en el campo del diseño. La presencia de la mujer en el ámbito del diseño.",,,,,,,,,,,
SB,sb-dis2-a4,A.4,"Diseño, ecología y sostenibilidad. El diseño en la sociedad de consumo. Aportaciones del ecodiseño a la solución de los retos socioambientales.",,,,,,,,,,,
SB,sb-dis2-a5,A.5,Diseño inclusivo.,,,,,,,,,,,
SB,sb-dis2-a6,A.6,La diversidad como riqueza patrimonial.,,,,,,,,,,,
SB,sb-dis2-a7,A.7,Aportación de las culturas no occidentales al canon del diseño universal. La apropiación cultural.,,,,,,,,,,,
SB,sb-dis2-a8,A.8,Fundamentos de la propiedad intelectual. La protección de la creatividad. Patentes y marcas.,,,,,,,,,,,
SB,sb-dis2-b1,B.1,Diseño y función.,,,,,,,,,,,
SB,sb-dis2-b2,B.2,"El lenguaje visual. Elementos básicos: punto, línea, plano, color, forma y textura.",,,,,,,,,,,
SB,sb-dis2-b3,B.3,Sintaxis de la imagen bidimensional y tridimensional.,,,,,,,,,,,
SB,sb-dis2-b4,B.4,Ordenación y composición modular.,,,,,,,,,,,
SB,sb-dis2-b5,B.5,Dimensión semántica del diseño.,,,,,,,,,,,
SB,sb-dis2-b6,B.6,Proceso y fases del diseño. La metodóloga proyectual.,,,,,,,,,,,
SB,sb-dis2-b7,B.7,Procesos creativos en un proyecto de diseño.,,,,,,,,,,,
SB,sb-dis2-b8,B.8,Estrategias de organización de los equipos de trabajo.,,,,,,,,,,,
SB,sb-dis2-c1,C.1,Funciones comunicativas del diseño gráfico.,,,,,,,,,,,
SB,sb-dis2-c2,C.2,"La tipografía, principales familias, legibilidad, propiedades y usos en el diseño.",,,,,,,,,,,
SB,sb-dis2-c3,C.3,El diseño gráfico y la composición.,,,,,,,,,,,
SB,sb-dis2-c4,C.4,Procesos y técnicas de diseño gráfico.,,,,,,,,,,,
SB,sb-dis2-c5,C.5,La imagen de marca: el diseño corporativo.,,,,,,,,,,,
SB,sb-dis2-c6,C.6,Diseño editorial. La maquetación y composición de páginas.,,,,,,,,,,,
SB,sb-dis2-c7,C.7,El diseño publicitario. Proyectos de comunicación gráfica.,,,,,,,,,,,
SB,sb-dis2-c8,C.8,La señalética y sus aplicaciones.,,,,,,,,,,,
SB,sb-dis2-d1,D.1,Diseño de producto. Tipologías de objetos en el diseño volumétrico.,,,,,,,,,,,
SB,sb-dis2-d2,D.2,Sistemas de representación y estructuras compositivas aplicados al diseño de producto.,,,,,,,,,,,
SB,sb-dis2-d3,D.3,"Antropometría, ergonomía y biónica aplicadas al diseño.",,,,,,,,,,,
SB,sb-dis2-d4,D.4,Diseño de producto y diversidad funcional.,,,,,,,,,,,
SB,sb-dis2-d5,D.5,"Materiales, texturas y colores. Sistemas de producción y su repercusión en el diseño.",,,,,,,,,,,
SB,sb-dis2-d6,D.6,El packaging: del diseño gráfico al diseño del contenedor del producto tridimensional. Iniciación a su desarrollo y técnicas de producción.,,,,,,,,,,,
SB,sb-dis2-d7,D.7,"Diseño de espacios. Organización del espacio habitable, público o privado. Distribución de espacios y recorridos.",,,,,,,,,,,
SB,sb-dis2-d8,D.8,Elementos constructivos. Principios de iluminación. Diseño de espacios interiores.,,,,,,,,,,,
SB,sb-dis2-d9,D.9,Percepción psicológica del espacio.,,,,,,,,,,,
SB,sb-dis2-d10,D.10,El diseño inclusivo de espacios.,,,,,,,,,,,
BB,bb-dis2-a,A,"Concepto, historia y campos del diseño",,,,,,,,,,,
BB,bb-dis2-b,B,El diseño: configuración formal y metodología,,,,,,,,,,,
BB,bb-dis2-c,C,Diseño gráfico,,,,,,,,,,,
BB,bb-dis2-d,D,Diseño tridimensional,,,,,,,,,,,
